"doy" "incidence" "severity" "yield"
236 43.21106341 25 28.00914008
236 46.41188293 30 33.50770386
236 66.78852857 55 48.126056
236 21.3636093 12 66.07585691
236 23.48390737 35 54.06344756
236 27.15177931 30 53.34416681
236 12.20777674 8 30.02396866
236 16.4042 5 38.61218883
243 22.96588 8 38.74262116
243 34.99562667 20 52.18474648
236 27.34033333 30 62.87254964
236 31.14017627 40 51.99243492
236 43.27916596 40 53.6860277
236 26.52594043 30 48.75861262
236 45.33524364 70 49.33412134
243 9.006227451 8 53.87961434
243 17.66606154 12 50.5285085
243 35.09735814 18 46.99465092
250 17.11742609 5 60.66355862
250 13.73374884 8 46.65178866
236 10.77290746 7 44.78828385
236 9.985165217 5 35.76802058
236 24.6063 10 26.69108925
236 28.12148571 25 46.67015062
236 18.74765714 4 38.61668302
236 24.30251852 10 43.46008571
243 24.30251852 8 22.52327446
250 7.874016 4 34.49092149
250 16.93336774 5 34.19159586
250 13.12336 3 51.30985807
229 95 90 8.033209026
236 76.55293333 75 44.89542943
236 46.66083556 70 55.18903262
236 39.8003541 65 23.70176706
236 12.4984381 10 50.10741014
236 20.58566275 16 40.24224342
236 51.80273684 30 50.72542306
243 31.08164211 35 34.99485294
243 19.44201481 17 17.84635776
243 13.12336 8 31.08481054
236 15.83853793 14 46.24963273
236 16.72585098 9 49.27334629
236 11.71728571 6 51.26838428
243 11.93032727 5 52.10775977
243 13.39118367 10 41.35981745
243 13.12336 12 55.59413261
243 8.2021 6 45.67226546
243 14.26452174 5 39.54007291
243 15.31058667 7 48.15723228
250 6.07562963 2 29.8511613
236 19.68504 5 55.50694284
236 28.70735 4 47.85376528
236 34.73830588 50 49.9516773
243 7.785044068 5 54.20652797
250 8.833030769 3 60.5290607
250 12.15125926 5 63.93663366
250 6.56168 2 63.34414689
250 2.678236735 1 49.91921926
250 14.96523509 8 57.09052709
243 4.686914286 2 61.49202977
250 3.028467692 3 53.54220159
257 9.373828571 8 59.79717726
257 1.041536508 1 74.82868448
257 0.863378947 1 68.30586521
257 1.093613333 1 60.6771
236 62.76389565 40 25.86826589
236 58.16034545 35 49.34763595
236 56.5662069 38 45.62212039
236 65 55 47.26413044
236 44.19090612 45 46.97980381
236 48.79197949 30 36.177309
236 49.2126 25 44.06404428
236 33.50645106 20 47.01040596
236 24.6063 13 39.65110585
243 20.36383448 10 25.30776518
236 18.90653559 25 55.9905256
236 16.09468679 20 46.97852204
243 11.48294 8 39.59937459
243 15.748032 20 55.64816703
250 2.982581818 3 36.35839644
257 1.525972093 1 47.57932626
229 42.99031724 30 44.80189727
236 34.90255319 10 46.00578485
236 33.64964103 20 31.40688617
236 47.72130909 35 52.19969841
236 41.20124651 30 48.27139219
236 31.33936716 25 51.44765153
236 44.19090612 30 43.81534405
243 37.49531429 15 43.88701243
250 29.31814468 12 35.2708224
250 19.68504 10 47.0627337
243 10.71294694 15 40.3346991
243 3.028467692 5 36.08792889
243 7.408348387 4 53.85513563
250 7.456454545 4 29.10394708
250 2.678236735 2 41.15723708
236 6 4 35.52560901
257 2 1 55.26634444
257 1.171728571 1 47.81671324
